model,trial,rmse,params,failure,operator
gru_cov,7,8.05366799083397,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004086050334527402, ""batch_size"": 32, ""dropout"": 0.2}",,gp
gru_cov,2,8.05439943916978,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.001101036419609077, ""batch_size"": 16, ""dropout"": 0.2}",,gp
gru_cov,14,8.382091080774165,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0004897958846904056, ""batch_size"": 16, ""dropout"": 0.0}",,gp
gru_cov,16,8.487660120882305,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.002131699356155855, ""batch_size"": 64, ""dropout"": 0.0}",,gp
gru_cov,9,8.513412577120391,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2}",,gp
gru_cov,8,8.75142759218925,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0015566745292900604, ""batch_size"": 64, ""dropout"": 0.0}",,gp
gru_cov,4,8.806202724286157,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.005463905449709552, ""batch_size"": 16, ""dropout"": 0.1}",,gp
gru_cov,11,8.813790351471633,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.001167357404587288, ""batch_size"": 64, ""dropout"": 0.0}",,gp
gru_cov,0,8.86081325248338,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2}",,gp
gru_cov,17,8.861784434260706,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0006366601863260838, ""batch_size"": 16, ""dropout"": 0.1}",,gp
gru_cov,15,9.07026485558057,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2}",,gp
gru_cov,21,9.095698499210618,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.003777347641562237, ""batch_size"": 64, ""dropout"": 0.1}",,gp
gru_cov,6,9.108340859800904,"{""lookback"": 36, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0015412771904202464, ""batch_size"": 32, ""dropout"": 0.0}",,gp
gru_cov,3,9.163997547593652,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014203236332087487, ""batch_size"": 32, ""dropout"": 0.0}",,gp
gru_cov,25,9.169334883785732,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000762094746862932, ""batch_size"": 64, ""dropout"": 0.2}",,gp
gru_cov,28,9.20916336575076,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005576025723578591, ""batch_size"": 32, ""dropout"": 0.2}",,gp
gru_cov,29,9.256350332397163,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.001365043718971339, ""batch_size"": 16, ""dropout"": 0.1}",,gp
gru_cov,22,9.258959238526888,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005117691688462442, ""batch_size"": 32, ""dropout"": 0.2}",,gp
gru_cov,10,9.50862730144627,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0034957478129854108, ""batch_size"": 16, ""dropout"": 0.0}",,gp
gru_cov,5,9.53432507415487,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.2}",,gp
gru_cov,23,9.58967896692973,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.0008635502350628375, ""batch_size"": 64, ""dropout"": 0.1}",,gp
gru_cov,13,9.871633541439442,"{""lookback"": 36, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.003556334654410625, ""batch_size"": 16, ""dropout"": 0.2}",,gp
gru_cov,26,10.26860351278976,"{""lookback"": 12, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0014502548792349637, ""batch_size"": 64, ""dropout"": 0.0}",,gp
gru_cov,20,10.34940732805356,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.005209254754151384, ""batch_size"": 16, ""dropout"": 0.0}",,gp
gru_cov,24,11.162392228074102,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0004537638927164481, ""batch_size"": 32, ""dropout"": 0.2}",,gp
gru_cov,12,12.24630523733394,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0006047240031389557, ""batch_size"": 64, ""dropout"": 0.0}",,gp
gru_cov,18,12.695167186398672,"{""lookback"": 48, ""covariates"": true, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.00036805206677463704, ""batch_size"": 64, ""dropout"": 0.0}",,gp
lstm_cov,27,7.826345665145785,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0}",,gp
lstm_cov,19,7.987126732018715,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.002115503167645315, ""batch_size"": 32, ""dropout"": 0.2}",,gp
lstm_cov,2,8.215922209730975,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.001101036419609077, ""batch_size"": 16, ""dropout"": 0.2}",,gp
lstm_cov,14,8.297788379518288,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0004897958846904056, ""batch_size"": 16, ""dropout"": 0.0}",,gp
lstm_cov,8,8.34738631879098,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0015566745292900604, ""batch_size"": 64, ""dropout"": 0.0}",,gp
lstm_cov,9,8.359463654894899,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2}",,gp
lstm_cov,1,8.421834405331737,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004327576253748584, ""batch_size"": 64, ""dropout"": 0.2}",,gp
lstm_cov,7,8.506174668419805,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004086050334527402, ""batch_size"": 32, ""dropout"": 0.2}",,gp
lstm_cov,16,8.625466906521076,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.002131699356155855, ""batch_size"": 64, ""dropout"": 0.0}",,gp
lstm_cov,15,8.683310541552776,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2}",,gp
lstm_cov,25,8.810980339292225,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000762094746862932, ""batch_size"": 64, ""dropout"": 0.2}",,gp
lstm_cov,11,8.875952140528241,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.001167357404587288, ""batch_size"": 64, ""dropout"": 0.0}",,gp
lstm_cov,4,9.069842942412697,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.005463905449709552, ""batch_size"": 16, ""dropout"": 0.1}",,gp
lstm_cov,17,9.111077458361152,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0006366601863260838, ""batch_size"": 16, ""dropout"": 0.1}",,gp
lstm_cov,29,9.254108409703491,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.001365043718971339, ""batch_size"": 16, ""dropout"": 0.1}",,gp
lstm_cov,6,9.433466992906268,"{""lookback"": 36, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0015412771904202464, ""batch_size"": 32, ""dropout"": 0.0}",,gp
lstm_cov,3,9.54129298388554,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014203236332087487, ""batch_size"": 32, ""dropout"": 0.0}",,gp
lstm_cov,28,9.620003601117316,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005576025723578591, ""batch_size"": 32, ""dropout"": 0.2}",,gp
lstm_cov,0,9.66541646003436,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2}",,gp
lstm_cov,13,9.69810887542996,"{""lookback"": 36, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.003556334654410625, ""batch_size"": 16, ""dropout"": 0.2}",,gp
lstm_cov,22,9.708762344763125,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005117691688462442, ""batch_size"": 32, ""dropout"": 0.2}",,gp
lstm_cov,5,9.88389469607391,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.2}",,gp
lstm_cov,21,9.932019972651704,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.003777347641562237, ""batch_size"": 64, ""dropout"": 0.1}",,gp
lstm_cov,20,10.006997686091076,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.005209254754151384, ""batch_size"": 16, ""dropout"": 0.0}",,gp
lstm_cov,24,10.321806289809995,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0004537638927164481, ""batch_size"": 32, ""dropout"": 0.2}",,gp
