rmse,mae,mape,mase,model,fold,n_test
22.217004748615416,13.846250000000001,11.769277074468782,0.8026087824796384,persistence,0,64
22.55274983233752,15.558125,12.227333355157661,0.9018389646233474,seasonal_naive_15,0,64
35.162209183314445,30.005377906976747,21.618948255504613,1.7392853537788244,drift,0,64
34.05211618322062,27.745208333333327,20.848923657743878,1.608272844998507,rolling_mean_15,0,64
33.41321644128743,26.89336594202898,20.80747525478881,1.5588951301262979,train_mean,0,64
62.535967450739896,54.690625,36.88348014076493,3.1701851363582536,seasonal_naive_24,0,64
15.12414294258726,11.568319972476148,8.473547440319107,0.6705667750072377,cnn,0,64
14.445417841909483,11.170254868625085,8.492581890798743,0.6474926178636405,lstm,0,64
13.9470122714812,10.424563423883725,8.046398585133849,0.6042680261821856,gru,0,64
15.042148943547643,11.20135950329949,8.610400552972553,0.6492956225013943,rnn,0,64
16.961041922605975,12.318137101871983,9.606124971691386,0.7140305152478638,ridge,0,64
16.466885611720766,11.926292694388465,8.640129787509418,0.6913169456668001,random_forest,0,64
18.6964499530908,13.778660225868226,9.565010023448895,0.798690888008285,xgboost,0,64
33.743654218237836,18.15,21.43764349610528,1.0691261923247874,persistence,1,64
36.7334125830966,20.762500000000003,23.10690702658165,1.2230155684927495,seasonal_naive_15,1,64
77.89357712707064,64.08457107843137,73.06035938746707,3.7749032211487896,drift,1,64
44.94696735783925,37.3065,39.00680446343849,2.197540291678495,rolling_mean_15,1,64
49.51616836311511,40.519333740831286,45.295011911211816,2.3867923414805645,train_mean,1,64
72.4753930655088,67.43,61.709200767137176,3.971965793303605,seasonal_naive_24,1,64
26.983040221684192,18.1799890129394,20.60830989700575,1.0708926958628306,cnn,1,64
27.77098150372044,19.456083595690608,22.130963558233958,1.1460610783588683,lstm,1,64
26.862904129126694,18.624047850475048,20.844260844913393,1.097049992509809,gru,1,64
27.91191785186303,17.91020260532096,20.79027638582512,1.0550009209472335,rnn,1,64
26.1119141634123,16.115957762529057,18.093039291069008,0.9493108847559114,ridge,1,64
28.150866321372224,17.661836024445996,21.405240534323084,1.040370881447973,random_forest,1,64
28.085592012620975,17.029286308288576,20.598359100833743,1.00311052500216,xgboost,1,64
25.596458739442845,15.056249999999999,16.473577587928816,0.8600852922488228,persistence,2,64
21.245667793693848,12.65,12.528558745496499,0.7226287386930749,seasonal_naive_15,2,64
54.639957218982815,48.06638771186441,36.0593398883858,2.7457828557910586,drift,2,64
35.59184510842648,30.015333333333334,30.944003353627096,1.7146199579540613,rolling_mean_15,2,64
42.708232798010286,32.22924418604649,38.20954696978267,1.8410891759046557,train_mean,2,64
61.56050519610768,55.2475,50.18856092488373,3.1560024696399727,seasonal_naive_24,2,64
19.46010701573125,12.824424858414723,15.163585564099758,0.7325927241027942,cnn,2,64
20.22782235541672,13.183375589449591,15.220646477587174,0.7530977133534412,lstm,2,64
18.693362601270746,11.814375370146813,13.129708363092712,0.6748938476028238,gru,2,64
16.274862183176243,11.047594719649217,11.570774793081794,0.6310916551661967,rnn,2,64
15.625707552407405,10.48324340760849,11.061929197222774,0.5988531985021831,ridge,2,64
21.932161277079867,14.92340927016282,17.834948568338792,0.8524967919287193,random_forest,2,64
20.50621520715144,13.044343867301942,15.418085420729222,0.7451555538266521,xgboost,2,64
27.444173334243462,16.775000000000002,19.61440928128812,0.9920038215652045,persistence,3,64
