model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn,cnn_cov,-5.2276315956189405,2.494594677493467e-07,True,cnn
cnn,drift,-17.55575208331074,0.0,True,cnn
cnn,gru,0.23859115977975387,0.8115169785741063,False,tie
cnn,gru_cov,-1.5323553265663985,0.12604525592128035,False,tie
cnn,lstm,-0.6963431491308398,0.4865262894239848,False,tie
cnn,lstm_cov,-2.122868898853743,0.034238468646474285,False,tie
cnn,persistence,-5.656206132572865,2.5620215060584428e-08,True,cnn
cnn,random_forest,-1.0794950176180254,0.2808694885702969,False,tie
cnn,ridge,-6.776649103976346,3.3549385491937755e-11,True,cnn
cnn,rnn,-0.6601446402616509,0.5094544392600553,False,tie
cnn,rnn_cov,-1.121538801409926,0.26257821971522244,False,tie
cnn,rolling_mean_15,-17.315946753258316,0.0,True,cnn
cnn,seasonal_naive_15,-4.3125442262427205,1.932814578009534e-05,True,cnn
cnn,train_mean,-16.85337126904471,0.0,True,cnn
cnn,xgboost,-1.1279252102259765,0.2598736602142324,False,tie
cnn_cov,drift,-16.403252762876008,0.0,True,cnn_cov
cnn_cov,gru,5.004251124506637,7.695860007039812e-07,True,gru
cnn_cov,gru_cov,5.96681831389013,4.487954896603696e-09,True,gru_cov
cnn_cov,lstm,4.88197183707282,1.4010650806195457e-06,True,lstm
cnn_cov,lstm_cov,4.9291198819895685,1.1137106670222607e-06,True,lstm_cov
cnn_cov,persistence,-1.4106501801780646,0.15894802551785592,False,tie
cnn_cov,random_forest,5.572447029607079,4.044323809182515e-08,True,random_forest
cnn_cov,ridge,0.8704947638595725,0.38443329901730205,False,tie
cnn_cov,rnn,4.741724439830916,2.7428821589570163e-06,True,rnn
cnn_cov,rnn_cov,5.159402906962818,3.5345763627070426e-07,True,rnn_cov
cnn_cov,rolling_mean_15,-11.051927754119516,0.0,True,cnn_cov
cnn_cov,seasonal_naive_15,0.12195498317618635,0.902981966436526,False,tie
cnn_cov,train_mean,-12.562517978082807,0.0,True,cnn_cov
cnn_cov,xgboost,5.35109323453678,1.3150042876830526e-07,True,xgboost
drift,gru,17.600305227309608,0.0,True,gru
drift,gru_cov,17.351431614397022,0.0,True,gru_cov
drift,lstm,17.57488680277846,0.0,True,lstm
drift,lstm_cov,17.119388207017806,0.0,True,lstm_cov
drift,persistence,14.894812503076578,0.0,True,persistence
drift,random_forest,17.41077489363285,0.0,True,random_forest
drift,ridge,16.206303685458074,0.0,True,ridge
drift,rnn,17.537160663157966,0.0,True,rnn
